count,rank,word
"106661
",737,stopped
"106591
",738,laughed
"106445
",739,language
"106415
",740,expression
"106184
",741,week
"106108
",742,hall
"105775
",743,danger
"105765
",744,property
"105588
",745,wonder
"105412
",746,usual
"105403
",747,figure
"104938
",748,born
"104606
",749,court
"104448
",750,generally
"104326
",751,grew
"104205
",752,showed
"103981
",753,getting
"103755
",754,ancient
"103497
",755,respect
"103468
",756,third
"103346
",757,worth
"102885
",758,simple
"102872
",759,tree
"102830
",760,leaving
"102801
",761,remain
"102355
",762,society
"102206
",763,fight
"102124
",764,wall
"102039
",765,result
"101875
",766,heaven
"101780
",767,William
"101771
",768,started
"101717
",769,command
"101569
",770,tone
"101139
",771,regard
"101117
",772,expected
"101061
",773,mere
"101037
",774,month
"100710
",775,beside
"100695
",776,silent
"100522
",777,perfect
"100504
",778,experience
"100499
",779,street
"100292
",780,writing
"100235
",781,goes
"100166
",782,circumstances
"99803.2
",783,entirely
"99654.4
",784,fresh
"99561.9
",785,duke
"99439.2
",786,covered
"99304.7
",787,bound
"99220.9
",788,east
"99157.6
",789,wood
"99073.7
",790,stone
"98994.6
",791,quickly
"98872.0
",792,notice
"98773.9
",793,bright
"98758.1
",794,Christ
"98756.5
",795,boat
"98714.6
",796,noble
"98705.1
",797,meant
"98651.3
",798,somewhat
"98497.8
",799,sudden
"98232.8
",800,value
"97991.5
",801,c.
"97628.3
",802,direction
"97567.4
",803,chair
"97353.0
",804,due
"97334.0
",805,support
"97093.5
",806,tom
"96908.4
",807,date
"96834.8
",808,waiting
"96735.9
",809,Christian
"96681.3
",810,village
"96547.6
",811,lives
"96465.4
",812,reading
"96413.9
",813,agree
"96198.0
",814,lines
"96182.9
",815,considered
"96170.3
",816,field
"96110.1
",817,observed
"95979.6
",818,scarcely
"95538.2
",819,wished
"95523.9
",820,wait
"95398.1
",821,greatest
"95391.0
",822,permission
"95371.2
",823,success
"95303.2
",824,piece
"95149.7
",825,British
"95127.6
",826,ex
"95049.2
",827,Charles
"94978.0
",828,formed
"94833.3
",829,speaking
"94706.7
",830,trying
"94578.5
",831,conversation
"94480.4
",832,proper
"94379.1
",833,hill
"94284.2
",834,music
"94123.6
",835,opportunity
"93912.4
",836,that's
"93866.5
",837,German
"93839.6
",838,afternoon
"93675.0
",839,cry
"93470.1
",840,cost
"93398.1
",841,allowed
"93384.7
",842,girls
"93235.2
",843,considerable
"92990.7
",844,c
"92800.8
",845,broke
"92446.4
",846,honour
"92292.1
",847,seven
"92260.5
",848,private
"92217.0
",849,sit
"92204.3
",850,news
"91995.5
",851,top
"91985.2
",852,scene
"91968.6
",853,discovered
"91937.7
",854,marriage
"91592.0
",855,step
"91392.6
",856,garden
"91305.6
",857,race
"91207.5
",858,begin
"91115.7
",859,per
"90923.5
",860,individual
"90632.3
",861,sitting
"90513.7
",862,learn
"90412.4
",863,political
"90385.5
",864,difficult
"90352.3
",865,bit
"90319.0
",866,speech
"90034.2
",867,Henry
"89756.5
",868,lie
"89723.3
",869,cast
"89650.5
",870,eat
"89562.7
",871,authority
"89480.4
",872,etc.
"89151.3
",873,floor
"89125.2
",874,ill
"88381.5
",875,ways
"88207.5
",876,officers
"88164.0
",877,offered
"88133.9
",878,original
"88005.0
",879,happiness
"87879.2
",880,flowers
"87876.0
",881,produced
"87793.7
",882,summer
"87573.0
",883,provide
"87538.2
",884,study
"87445.6
",885,religion
"87340.4
",886,picture
"87300.1
",887,walls
"87235.2
",888,personal
"87195.6
",889,America
"87073.8
",890,watch
"86744.7
",891,pleased
"86702.0
",892,leaves
"86560.4
",893,declared
"86478.9
",894,hot
"86271.6
",895,understood
"86256.6
",896,effort
"86240.7
",897,prepared
"86157.7
",898,escape
"86132.4
",899,attempt
"86122.1
",900,supposed
"86020.0
",901,killed
"86008.1
",902,fast
"85992.3
",903,author
"85940.9
",904,Indian
"85875.2
",905,brown
"85873.7
",906,determined
"85833.3
",907,pain
"85777.9
",908,spring
"85761.3
",909,takes
"85701.2
",910,drawn
"85694.1
",911,soldiers
"85488.4
",912,houses
"85453.6
",913,beneath
"85391.1
",914,talking
"85325.4
",915,turning
"85256.6
",916,century
"84796.1
",917,steps
"84789.0
",918,intended
"84783.5
",919,soft
"84750.2
",920,straight
"84637.1
",921,matters
"84636.3
",922,likely
"84584.1
",923,corner
"84518.4
",924,trademark
"84500.2
",925,justice
"84365.0
",926,simply
"84323.0
",927,produce
"84298.5
",928,trust
"84153.7
",929,appears
"84141.1
",930,Rome
"84072.2
",931,laugh
"84004.2
",932,forget
"83940.9
",933,Europe
"83908.5
",934,passage
"83853.9
",935,eight
"83814.3
",936,closed
"83716.2
",937,ourselves
"83639.5
",938,gives
"83486.0
",939,dress
"83482.1
",940,passing
"83421.9
",941,terrible
"83248.7
",942,required
"83151.4
",943,medium
"83147.4
",944,efforts
"83124.5
",945,sake
"83075.4
",946,breath
"83039.0
",947,wise
"82918.0
",948,ladies
"82883.2
",949,possession
"82839.7
",950,pleasant
"82830.9
",951,perfectly
"82761.3
",952,o'
"82725.7
",953,memory
"82644.2
",954,usually
"82623.7
",955,grave
"82566.7
",956,fixed
"82562.0
",957,modern
"82338.9
",958,spot
"82223.4
",959,troops
"82126.8
",960,rise
"82118.1
",961,break
"82035.1
",962,fifty
"81974.9
",963,island
"81962.3
",964,meeting
"81899.8
",965,camp
"81890.3
",966,nation
"81804.1
",967,existence
"81671.1
",968,reply
"81624.5
",969,I'd
"81479.7
",970,copies
"81457.5
",971,sky
"81396.6
",972,touch
"81392.7
",973,equal
"81232.1
",974,fortune
"81207.5
",975,v.
"81109.4
",976,shore
"81056.4
",977,domain
"80756.6
",978,named
"80651.4
",979,situation
"80463.1
",980,looks
"80426.7
",981,promise
"80294.6
",982,orders
"80293.8
",983,degree
"80239.2
",984,middle
"80239.2
",985,winter
"80069.9
",986,plan
"80046.2
",987,spent
"79876.1
",988,allow
"79860.2
",989,pale
"79819.9
",990,conduct
"79752.6
",991,running
"79751.1
",992,religious
"79635.6
",993,surprise
"79605.5
",994,minute
"79482.1
",995,roman
"79432.2
",996,cases
"79425.1
",997,shot
"79418.8
",998,lead
"79376.1
",999,move
"79366.6
",1000,names
"79301.7
",1001,stop
"79280.3
",1002,higher
"79225.0
",1003,et
"79201.2
",1004,father's
"79179.1
",1005,threw
"79163.2
",1006,worse
"79110.2
",1007,built
"79085.7
",1008,spoken
"79053.3
",1009,glass
"78858.7
",1010,board
"78809.6
",1011,vain
"78788.3
",1012,affairs
"78564.4
",1013,instance
"78317.5
",1014,safe
"78305.7
",1015,loss
"78281.9
",1016,doctor
"78246.3
",1017,offer
"78173.5
",1018,class
"78039.8
",1019,complete
"77716.3
",1020,access
"77368.2
",1021,lower
"77327.0
",1022,wouldn't
"77300.1
",1023,repeated
"77286.7
",1024,forms
"77261.4
",1025,darkness
"77249.5
",1026,military
"77220.2
",1027,warm
"77183.8
",1028,drink
"77028.0
",1029,passion
"76976.6
",1030,ones
"76974.2
",1031,physical
"76922.8
",1032,example
"76672.0
",1033,ears
"76596.8
",1034,questions
"76592.9
",1035,start
"76560.4
",1036,lying
"76547.8
",1037,smiled
"76541.4
",1038,keeping
"76495.5
",1039,spite
"76402.2
",1040,shown
"76333.4
",1041,directly
"76067.5
",1042,james
"76059.6
",1043,hart
"75990.8
",1044,serious
"75918.0
",1045,hat
"75874.5
",1046,dog
"75859.5
",1047,silver
"75856.3
",1048,sufficient
"75850.0
",1049,main
"75813.6
",1050,mentioned
"75473.4
",1051,servant
"75429.9
",1052,pride
"75422.0
",1053,crowd
"75404.6
",1054,train
"75347.6
",1055,wonderful
"75253.5
",1056,moral
"75209.9
",1057,instant
"75153.0
",1058,associated
"75150.6
",1059,path
"75128.5
",1060,greek
"74981.3
",1061,meaning
"74906.9
",1062,fit
"74834.2
",1063,ordered
"74745.6
",1064,lot
"74505.0
",1065,he's
"74438.6
",1066,proved
"74413.3
",1067,obliged
"74391.9
",1068,enter
"74378.5
",1069,rule
"74342.9
",1070,sword
"74293.0
",1071,attack
"74266.1
",1072,seat
"74220.2
",1073,game
"74210.7
",1074,health
"74195.7
",1075,paragraph
"74053.3
",1076,statement
"74035.9
",1077,social
"73914.1
",1078,refund
"73906.2
",1079,sorry
"73882.4
",1080,courage
"73833.4
",1081,members
"73826.3
",1082,grace
"73755.1
",1083,official
"73726.6
",1084,dream
"73622.1
",1085,worthy
"73581.8
",1086,rock
"73527.2
",1087,jack
"73443.3
",1088,provided
"73437.8
",1089,special
"73338.9
",1090,shook
"73327.8
",1091,request
"73313.6
",1092,mighty
"73302.5
",1093,glance
"73281.2
",1094,heads
"73266.9
",1095,movement
"73232.9
",1096,fee
"73182.3
",1097,share
"73178.3
",1098,expect
"73076.3
",1099,couldn't
"72925.9
",1100,dollars
"72890.3
",1101,spread
"72815.2
",1102,opposite
"72644.3
",1103,glory
"72570.7
",1104,twelve
"72550.2
",1105,space
"72545.4
",1106,engaged
"72509.0
",1107,peter
"72450.5
",1108,wine
"72404.6
",1109,ordinary
"72333.4
",1110,mountains
"72268.5
",1111,taste
"72252.7
",1112,iron
"72166.5
",1113,isn't
"72160.9
",1114,distribute
"72098.4
",1115,trade
"72033.5
",1116,consider
"71894.3
",1117,greatly
"71888.0
",1118,accepted
"71884.8
",1119,forced
"71878.5
",1120,advantage
"71849.2
",1121,ideas
"71766.1
",1122,decided
"71751.9
",1123,using
"71744.0
",1124,officer
"71688.6
",1125,rate
"71654.6
",1126,clothes
"71582.6
",1127,sign
"71558.9
",1128,feelings
"71399.1
",1129,native
"71195.7
",1130,promised
"71190.2
",1131,judge
"71072.3
",1132,difference
"71042.3
",1133,working
"71040.7
",1134,anxious
"70948.9
",1135,marry
"70861.9
",1136,captain
"70763.8
",1137,finished
"70649.8
",1138,extent
"70643.5
",1139,watched
"70641.1
",1140,curious
"70609.5
",1141,foreign
"70524.9
",1142,besides
"70513.0
",1143,method
"70452.9
",1144,excellent
"70414.1
",1145,confidence
"70264.6
",1146,marked
"70256.7
",1147,'em
"70228.2
",1148,jesus
"70213.1
",1149,exactly
"70066.8
",1150,importance
"70018.5
",1151,finally
"69973.4
",1152,bill
"69861.1
",1153,vast
"69854.0
",1154,prove
"69771.7
",1155,fancy
"69761.4
",1156,quick
"69731.3
",1157,yes
"69666.5
",1158,sought
"69664.1
",1159,prevent
"69634.8
",1160,neck
"69628.5
",1161,hearts
"69603.2
",1162,liberty
"69601.6
",1163,interesting
"69594.5
",1164,sides
"69532.8
",1165,legal
"69507.5
",1166,gentlemen
"69442.6
",1167,dry
"69414.9
",1168,serve
"69368.2
",1169,aside
"69287.5
",1170,pure
"69279.6
",1171,concerning
"69212.4
",1172,forgotten
"69115.8
",1173,lose
"69073.1
",1174,powers
"68995.6
",1175,possessed
"68931.5
",1176,thrown
"68904.6
",1177,evidence
"68882.5
",1178,distant
"68874.5
",1179,Michael
"68830.2
",1180,progress
"68603.2
",1181,similar
"68505.9
",1182,narrow
"68471.9
",1183,altogether
"68394.3
",1184,building
"68234.5
",1185,page
"68193.4
",1186,particularly
"68050.2
",1187,knowing
"67942.6
",1188,weeks
"67880.1
",1189,settled
"67815.2
",1190,holding
"67762.2
",1191,mountain
"67660.2
",1192,search
"67596.1
",1193,sad
"67589.7
",1194,sin
"67551.0
",1195,lies
"67492.4
",1196,proud
"67423.6
",1197,pieces
"67318.4
",1198,clearly
"67277.2
",1199,price
"67259.0
",1200,ships
"67229.0
",1201,thirty
"67152.2
",1202,sick
"67088.2
",1203,honest
"67063.6
",1204,shut
"66998.0
",1205,talked
"66981.4
",1206,bank
"66946.5
",1207,fate
"66940.2
",1208,dropped
"66827.9
",1209,judgment
"66803.4
",1210,conditions
"66590.5
",1211,king's
"66498.8
",1212,accept
"66475.8
",1213,hills
"66429.1
",1214,removed
"66263.0
",1215,forest
"66262.2
",1216,measure
"66220.3
",1217,species
"66141.2
",1218,seek
"66066.0
",1219,highest
"66054.9
",1220,otherwise
"66003.5
",1221,stream
"65994.0
",1222,honor
"65960.0
",1223,carefully
"65884.1
",1224,obtained
"65819.2
",1225,ear
"65708.4
",1226,bread
"65645.1
",1227,bottom
"65640.4
",1228,additional
"65615.9
",1229,presented
"65581.1
",1230,aid
"65564.4
",1231,fingers
"65556.5
",1232,q
"65554.2
",1233,remembered
"65396.7
",1234,choose
"65284.4
",1235,agreed
"65255.1
",1236,animal
"65118.2
",1237,events
"65017.8
",1238,there's
"64982.2
",1239,fully
"64971.9
",1240,delight
"64836.6
",1241,rights
"64720.3
",1242,amount
"64706.1
",1243,obtain
"64658.6
",1244,tax
"64642.0
",1245,servants
"64592.9
",1246,sons
"64403.8
",1247,cross
"64397.5
",1248,shoulders
"64364.3
",1249,thick
"64311.3
",1250,points
"64270.9
",1251,stranger
"64227.4
",1252,woods
"64155.4
",1253,facts
"64055.0
",1254,dare
"64005.1
",1255,grow
"63988.5
",1256,creature
"63988.5
",1257,hung
"63905.4
",1258,rain
"63861.1
",1259,false
"63854.8
",1260,tall
"63851.6
",1261,gate
"63793.9
",1262,nations
"63774.9
",1263,created
"63774.9
",1264,refused
"63767.8
",1265,quietly
"63717.1
",1266,surface
"63711.6
",1267,freely
"63709.2
",1268,holy
"63695.0
",1269,streets
"63577.9
",1270,blow
"63558.1
",1271,july
